Common Name,Scientific Name,Family,Native,Commonness
Blue-spotted Salamander,Ambystoma laterale,Salamanders & Newts,Native,Uncommon
Eastern Red-backed Salamander,Plethodon cinereus,Salamanders & Newts,Native,Common
Four-toed Salamander,Hemidactylium scutatum,Salamanders & Newts,Native,Rare
Jefferson Salamander,Ambystoma jeffersonianum,Salamanders & Newts,Native,Rare
Spotted Salamander,Ambystoma maculatum,Salamanders & Newts,Native,Uncommon
Mudpuppy,Necturus maculosus maculosus,Salamanders & Newts,Native,Rare
Red-spotted Newt,Notophthalmus viridescens viridescens,Salamanders & Newts,Native,Uncommon
Eastern American Toad,Bufo americanus americanus,Frogs & Toads,Native,Common
Bullfrog,Rana catesbeiana,Frogs & Toads,Native,Uncommon
Gray Treefrog,Hyla versicolor,Frogs & Toads,Native,Common
Green Frog,Rana clamitans,Frogs & Toads,Native,Common
Northern Leopard Frog,Rana pipiens,Frogs & Toads,Native,Common
Pickerel Frog,Rana palustris,Frogs & Toads,Native,Rare
Spring Peeper,Pseudacris crucifer,Frogs & Toads,Native,Common
Western Chorus Frog,Pseudacris triseriata,Frogs & Toads,Native,Common
Wood Frog,Rana sylvatica,Frogs & Toads,Native,Common
Brown Snake,Storeria dekayi,Snakes,Native,Common
Eastern Garter Snake,Thamnophis sirtalis sirtalis,Snakes,Native,Common
Eastern Milk Snake,Lampropeltis triangulum triangulum,Snakes,Native,Common
Northern Ribbonsnake,Thamnophis sauritus septentrionalis,Snakes,Native,Rare
Northern Ring-necked Snake,Diadophis punctatus edwardsii,Snakes,Native,Rare
Northern Water Snake,Nerodia sipedon sipedon,Snakes,Native,Uncommon
Redbelly Snake,Storeria occipitomaculata occipitomaculata,Snakes,Native,Uncommon
Smooth Green Snake,Opheodrys vernalis,Snakes,Native,Uncommon
Blanding's Turtle,Emydoidea blandingii,Turtles,Native,Rare
Common Musk Turtle (Stinkpot),Sternotherus odoratus,Turtles,Native,Rare
Eastern Spiny Softshell,Apalone spinifera spinifera,Turtles,Native,Extirpated
Midland Painted Turtle,Chrysemys picta marginata,Turtles,Native,Common
Northern Map Turtle,Graptemys geographica,Turtles,Native,Rare
Red-eared Slider,Trachemys scripta elegans,Turtles,Exotic,Unknown
Snapping Turtle,Chelydra serpentina,Turtles,Native,Common
